date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:50:08	133214/133214	---M-Z	200	added ('OK')	text/html	etag:W/%221fca5-hRRSYELV27/JHVsqHiARa7AqqY0%22	https://www.jetzt.de/	E:/Downloaded%20Web%20Sites/jetzt/www.jetzt.de/index.html	(from )
23:50:08	331/331	---M-Z	200	added ('OK')	text/plain	etag:W/%223c3-SBHPZmWB5R4cmAYKAvAnqPUjzJc%22	https://www.jetzt.de/robots.txt		(from )
23:50:09	144783/144783	---MCZ	200	added ('OK')	application/javascript	etag:W/%229d431047bbe67cf4a04710a48fb4840a%22	https://consent-cdn.jetzt.de/wrapperMessagingWithoutDetection.js	E:/Downloaded%20Web%20Sites/jetzt/consent-cdn.jetzt.de/wrapperMessagingWithoutDetection.js	(from https://www.jetzt.de/)
23:50:09	69614/69614	---M-Z	200	added ('OK')	text/css	etag:%22dbc0431745eefed72c3ba4e6f0e094b2%22	https://caching-production.jetzt.de/assets/ckghrc6290001c1y7qgrzbub7/apos-minified/anon-ckghrc6290001c1y7qgrzbub7.css	E:/Downloaded%20Web%20Sites/jetzt/caching-production.jetzt.de/assets/ckghrc6290001c1y7qgrzbub7/apos-minified/anon-ckghrc6290001c1y7qgrzbub7.css	(from https://www.jetzt.de/)
23:50:09	28537/28537	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2012%20Aug%202020%2011:16:01%20GMT	https://polyfill.io/v3/polyfill.min.js?flags=gated&features=Object.assign%2CIntersectionObserver	E:/Downloaded%20Web%20Sites/jetzt/polyfill.io/v3/polyfill.min7d8a.js	(from https://www.jetzt.de/)
23:50:09	3377/3377	---M-Z	200	added ('OK')	application/javascript	etag:%22lZYfWg%22	https://api.id.swmhdata.jetzt.de/js/id-service.js	E:/Downloaded%20Web%20Sites/jetzt/api.id.swmhdata.jetzt.de/js/id-service.js	(from https://www.jetzt.de/)
23:50:10	431/431	---M-Z	200	added ('OK')	application/json	etag:W/%221af-174c46c9320%22	https://www.jetzt.de/manifest.json	E:/Downloaded%20Web%20Sites/jetzt/www.jetzt.de/manifest.json	(from https://www.jetzt.de/)
23:50:10	43684/43684	---M-Z	200	added ('OK')	text/xml	etag:W/%22aaa4-+HEPAtvKVoqLCy/5P4icx7VyJe4%22	https://www.jetzt.de/alle_artikel.rss	E:/Downloaded%20Web%20Sites/jetzt/www.jetzt.de/alle_artikel.rss	(from https://www.jetzt.de/)
23:50:10	1953/1953	---M--	200	added ('OK')	image/png	etag:W/%227a1-174c46e7b68%22	https://www.jetzt.de/images/splashscreens/iphone5_splash.png	E:/Downloaded%20Web%20Sites/jetzt/www.jetzt.de/images/splashscreens/iphone5_splash.png	(from https://www.jetzt.de/)
23:50:10	2079/2079	---M--	200	added ('OK')	image/png	etag:W/%2281f-174e3541e98%22	https://www.jetzt.de/images/splashscreens/iphone6_splash.png	E:/Downloaded%20Web%20Sites/jetzt/www.jetzt.de/images/splashscreens/iphone6_splash.png	(from https://www.jetzt.de/)
23:50:11	3086/3086	---M--	200	added ('OK')	image/png	etag:W/%22c0e-174c46e7b68%22	https://www.jetzt.de/images/splashscreens/iphoneplus_splash.png	E:/Downloaded%20Web%20Sites/jetzt/www.jetzt.de/images/splashscreens/iphoneplus_splash.png	(from https://www.jetzt.de/)
23:50:11	3049/3049	---M--	200	added ('OK')	image/png	etag:W/%22be9-174fea6fa30%22	https://www.jetzt.de/images/splashscreens/iphonex_splash.png	E:/Downloaded%20Web%20Sites/jetzt/www.jetzt.de/images/splashscreens/iphonex_splash.png	(from https://www.jetzt.de/)
